claim_id,adjudication_outcome,classification,published_status,audit_status,evidence_qualifications,evidence_tiers,source_independence,model_tiers,unresolved_replication_classes,claim_family,statement,model_domain,uncertainty_boundary,falsifier,adjudication,reviewer,last_verified_on,source_locations,evidence_artifacts
PD-CLAIM-002,supported,project_originated_model_reconstruction,supported_at_declared_model_tier,provisionally_reproduced_not_independent_evidence,project_executable_or_data,project_derivation_or_document | project_executable_or_generated,project_only,compliant_shaft | planar_reduced,none_declared,ch06_shaft_contributions,The archived WSCG pointwise zero-command reconstruction reaches a negative two-hand midpoint couple of -19.63 N m generated by separated contact forces.,"Pointwise archived planar WSCG tables with registered signs, grip geometry, and zero-command interpretation.","Project-originated hypothesis evidence; not an independent experiment, forward trajectory, or physiological torque estimate.","Raw-table reconstruction fails, action-reaction or moment closure fails, or the couple vanishes when evaluated with the registered geometry.",Reproducible within registered project artifacts; independence and biological interpretation are explicitly withheld.,Codex initial audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch06_shaft_contributions.qmd:142,docs/research/proximal_distal_energy_transfer/data/two_hand_wscg_analysis.json | docs/research/proximal_distal_energy_transfer/data/wscg_two_hand_raw/ztcf.csv | docs/research/proximal_distal_energy_transfer/WSCG_2024_LEGACY_EVIDENCE_AUDIT.md
PD-CLAIM-003,supported,model_conditional_forward_counterfactual,supported_at_declared_model_tier,provisionally_reproduced_not_independently_reviewed,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced | two_hand_or_bilateral,none_declared,ch05b_forward_two_hand,The forward constrained planar two-arm zero-command branch retains a negative force-generated club couple for 50 ms and reaches -7.43 N m.,"Fixed-shoulder planar constrained two-arm model, rigid club, declared 0.200 s same-state branch and 50 ms horizon.","Mechanical persistence in one reduced model; not muscle passivity, human use, or an optimal strategy.","The sign or duration fails timestep/stabilization convergence, contact power does not close, or zero moment arms do not collapse the couple.",The declared model result is bounded correctly in the prose; independent solver reproduction remains open.,Codex initial audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch05b_forward_two_hand.qmd:259 | docs/research/proximal_distal_energy_transfer/chapters/_ch09_conclusions.qmd:30,docs/research/proximal_distal_energy_transfer/data/forward_two_arm_study.json | scripts/research/proximal_distal_energy/forward_two_arm.py | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-004,supported,cross_formulation_numerical_verification,supported_at_declared_model_tier,provisionally_reproduced_not_cross_engine_forward_validation,project_executable_or_data,project_executable_or_generated,project_only,cross_tier_synthesis | planar_reduced | spatial_reduced,none_declared,ch06c_spatial_cross_formulation,MuJoCo inverse dynamics and an independent Lagrange-Christoffel formulation agree to a maximum relative discrepancy of 2.14e-11 across the registered reduced spatial common-state study.,Reduced nonplanar common states with prescribed hand loads and two formulations derived from the same hashed model.,"A common-state inverse-dynamics implementation check, not independent model identity, forward contact, anatomy, or human validation.",Recomputation exceeds the preregistered tolerance or an independently authored formulation disagrees after convention alignment.,The paper appropriately limits this to cross-formulation common-state verification; stronger independence remains open.,Codex initial audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch06c_spatial_cross_formulation.qmd:123 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:6,docs/research/proximal_distal_energy_transfer/data/spatial_full_body_study.json | scripts/research/proximal_distal_energy/spatial_full_body.py
PD-CLAIM-005,supported,model_conditional_projected_contact_transport_counterfactual,supported_at_declared_reduced_contact_tier,two_native_engines_branch_power_geometry_and_refinement_checked,project_executable_or_data,project_executable_or_generated,project_only,cross_tier_synthesis | spatial_reduced,none_declared,ch07_model_ladder,The reduced MuJoCo and Pinocchio transport branches retain a negative swing-normal contact couple for 37.5 ms under one shared projected contact law and state update.,Reduced 3-D rigid club and finite-mass translational hand carriages with paired compliant contacts and no direct club actuation.,"Cross-engine reduced-mechanism evidence; articulated arms, measured grip tissue, muscles, and equipment calibration are absent.","The persistence falls outside the registered cross-engine equivalence region, fails refinement, or disappears in articulated calibrated contact without an identified discrepancy term.","The claim is narrowly framed and has useful controls, but independent contact models and articulated spatial transport remain required.",Codex initial audit,2026-08-21,docs/research/proximal_distal_energy_transfer/chapters/_ch07_model_ladder.qmd:579 | docs/research/proximal_distal_energy_transfer/chapters/_ch08_discussion.qmd:67 | docs/research/proximal_distal_energy_transfer/chapters/_ch06cc_spatial_forward_contact.qmd:215,docs/research/proximal_distal_energy_transfer/data/spatial_forward_contact_study.json | docs/research/proximal_distal_energy_transfer/data/spatial_forward_contact_study.npz | scripts/research/proximal_distal_energy/spatial_forward_contract.py | scripts/research/proximal_distal_energy/spatial_forward_engines.py | scripts/research/proximal_distal_energy/spatial_forward_study.py | scripts/research/proximal_distal_energy/run_spatial_forward_contact_study.py | tests/research/test_spatial_forward_contact.py
PD-CLAIM-006,supported,external_empirical_association,supported_after_scope_narrowing,original_abstract_checked_population_limited,abstract_or_record_only | external_source_registered | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,cross_tier_synthesis | human_or_external_evidence,none_declared,ch01_introduction,"In Fradkin and colleagues' sample of 45 male golfers aged 18Ã¢â‚¬â€œ80 with handicaps 2Ã¢â‚¬â€œ27, clubhead speed was strongly associated with handicap (reported r = 0.950).","Cross-sectional association in 45 male golfers, handicaps 2Ã¢â‚¬â€œ27, ten recorded swings per golfer, with clubhead speed estimated from high-speed video.","Does not establish drive distance, scoring causality, women, elite-only populations, launch conditions, or a universal performance metric.",A preregistered representative replication finds no material speed-handicap association or shows the association is explained by declared confounders.,The cited study supports a strong sample-specific association. The former wording about a dominant controllable determinant of distance exceeded that evidence and has been replaced with a conditional physical statement and explicit cohort limitation.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:17,https://pubmed.ncbi.nlm.nih.gov/15712503/ | https://doi.org/10.1016/S1440-2440(04)80265-2 | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-007,supported,external_empirical_synthesis,supported_with_methodological_qualification,partially_original_source_checked_full_systematic_review_open,external_source_registered | independent_followup_open,external_empirical_human | external_methods_or_measurement,multiple_independent_external_support,cross_tier_synthesis | human_or_external_evidence,systematic_review_open,ch03_evidence,"Under commonly used segment and angular-velocity definitions, proximal-to-distal peak ordering is common in sampled skilled golfers but is not universal or measurement-definition invariant.","Published optical-motion studies of selected skilled, elite, professional, and amateur samples using study-specific segment frames, angular-velocity components, filtering, and peak events.","Prevalence across all golfers and invariance across coordinate definitions, clubs, shot intents, and processing pipelines remain unestablished.",A representative preregistered synthesis shows the pattern is not more prevalent than alternative orderings under prespecified definitions.,The original blanket statement across measurement systems and populations was too broad. The revised paper states commonality only in sampled skilled groups and foregrounds method dependence and non-universality.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:126 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:118 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:59 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:17 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:96 | docs/research/proximal_distal_energy_transfer/proximal_distal_energy_transfer.qmd:10 | docs/research/proximal_distal_energy_transfer/chapters/_ch09_conclusions.qmd:5,https://doi.org/10.1080/14763141.2010.535842 | https://doi.org/10.1177/17479541261429479 | https://pubmed.ncbi.nlm.nih.gov/31741482/
PD-CLAIM-008,supported,mechanical_definition_and_limitation,supported,supported_by_dimensional_and_balance_law_analysis,external_source_registered,external_review_or_synthesis | project_derivation_or_document,single_independent_external_support,cross_tier_synthesis,none_declared,ch01_introduction,"The temporal order of segment angular-velocity peaks is not, by itself, a measurement of mechanical energy transfer.",Rigid or deformable multibody systems for which energy transfer is evaluated through power/work or segment energy balances rather than peak-time order.,Peak order may correlate with transfer in a declared dataset; the claim only rejects identity and sufficiency.,"A valid general identity derives energy-transfer magnitude and direction uniquely from peak ordering without force, torque, displacement, or inertia information.",Angular-velocity peak times do not contain the force and displacement information required by mechanical power or work. The distinction is retained as a methodological foundation rather than an empirical generalization.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:17 | docs/research/proximal_distal_energy_transfer/chapters/_ch08_discussion.qmd:110 | docs/research/proximal_distal_energy_transfer/proximal_distal_energy_transfer.qmd:10 | docs/research/proximal_distal_energy_transfer/chapters/_ch09_conclusions.qmd:5,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd | https://pubmed.ncbi.nlm.nih.gov/8505347/
PD-CLAIM-009,supported,external_model_derived_quantitative_result,supported_with_model_partition_qualification,source_values_checked_independent_recomputation_open,external_source_registered | project_executable_or_data,external_empirical_human | project_executable_or_generated,multiple_independent_external_support,human_or_external_evidence,none_declared,ch03_evidence,"In Nesbit and Serrano's four subject-specific inverse-dynamics models, the reported work partition was 68.7Ã¢â‚¬â€œ72.2% for the trunk complex, 24.3Ã¢â‚¬â€œ28% for shoulder and arm joints, and 3.3Ã¢â‚¬â€œ3.8% for modeled leg joints.",Four subject-specific golf swings analyzed with the authors' linked-segment inverse-dynamics model and joint-work partition.,"Small sample, model-dependent partition, no population interval, and no implication that low leg-joint work means ground reaction or lower-limb mechanics are unimportant.","The reported source values cannot be reproduced from the original tables and definitions, or materially change under the source's stated computation.",The values are retained as results from four declared models. The superlative about completeness and the implication attached to the leg fraction were removed; causal or population-wide extrapolation is not supported.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:5 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:139,https://www.jssm.org/volume04/iss4/cap/jssm-04-520.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC3899667/ | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-010,supported,external_cross_sectional_model_result,corrected_and_supported_with_causal_limitation,open_access_full_text_checked_statistical_replication_open,external_source_registered | independent_followup_open | original_full_text_checked | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,cross_tier_synthesis | human_or_external_evidence,statistical_reanalysis_or_replication_open,ch03_evidence,"In Ratchanavy and colleagues' 30-golfer pooled driver/7-iron analysis, a block containing two center-of-pressure factors and skill group explained 35.5% of clubhead-speed variance; adding trunk sequencing and a constructed impulse-related transfer-efficiency factor yielded 75.4%, with a significant indirect association through the transfer factor but no established causal pathway.","Cross-sectional sample of 30 right-handed golfers, pooled driver and 7-iron swings, PCA-derived constructs, hierarchical regression, skill-group covariate, and bootstrap serial mediation.","Small sample relative to the upstream feature space, pooled clubs, constructed factors, observational mediation, model-selection uncertainty, and no longitudinal causal intervention.","Participant-level out-of-sample replication fails, the indirect effect is unstable to reasonable factor/model choices, or prospective perturbation contradicts the proposed direction.","The former text incorrectly called the 35.5% block foot-ground variables alone and presented mediation too mechanistically. The revised wording includes skill group, identifies the constructed factor, and rejects causal inference from the cross-sectional model.",Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:21 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:126 | docs/research/proximal_distal_energy_transfer/chapters/_ch08_discussion.qmd:110,https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2026.1790645/full | https://doi.org/10.3389/fspor.2026.1790645 | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-011,supported,external_empirical_association,supported_with_population_qualification,original_abstract_checked,abstract_or_record_only | external_source_registered | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,human_or_external_evidence,none_declared,ch03_evidence,Han and colleagues reported significant associations between selected golfer-ground force/moment parameters and maximum clubhead speed in 63 highly skilled male golfers with handicaps no greater than 3.,"Cross-sectional optical motion capture and two-force-plate study of 63 highly skilled male golfers across driver, 5-iron, and pitching-wedge conditions.",Association only; male low-handicap population; selected peaks and club conditions; no causal intervention or energetic source attribution.,A preregistered representative replication fails to reproduce the selected associations after multiplicity and confounder control.,The source supports selected associations in the declared male skilled sample. The paper now avoids treating ground reactions as the energetic origin or these associations as causal.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:21,https://pubmed.ncbi.nlm.nih.gov/31042142/ | https://doi.org/10.1080/14763141.2019.1586983 | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
